"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 17 09:41:08 CST 2021","Tue Aug 17 09:41:08 CST 2021","35","meiziku","test_selfvideo","","","","编辑影片详情-修改竖版海报","传入参数id,horizontal,参数值正确"
"passed","Tue Aug 17 09:41:10 CST 2021","Tue Aug 17 09:41:10 CST 2021","33","meiziku","test_selfvideo","","","","执行阿里云MPS转码切片-传入参数encryption、id、templateId、seek、duration，参数的值正确","传入参数encryption、id、templateId、seek、duration，参数的值正确"
"passed","Tue Aug 17 09:41:08 CST 2021","Tue Aug 17 09:41:08 CST 2021","56","meiziku","test_selfvideo","","","","编辑影片详情-编辑地区","传入参数id,regionId"
"passed","Tue Aug 17 09:41:12 CST 2021","Tue Aug 17 09:41:12 CST 2021","45","meiziku","test_selfvideo","","","","通过影片id删除影片切片-传入不存在的影片id","传入不存在的影片id,id中有字符串"
"passed","Tue Aug 17 09:41:08 CST 2021","Tue Aug 17 09:41:09 CST 2021","62","meiziku","test_selfvideo","","","","编辑影片详情-编辑视频类型为3D左右","传入参数id,videoFormatKey"
"passed","Tue Aug 17 09:41:08 CST 2021","Tue Aug 17 09:41:08 CST 2021","35","meiziku","test_selfvideo","","","","编辑影片详情-修改导演","传入参数id,director,参数值正确"
"skipped","Tue Aug 17 09:41:06 CST 2021","Tue Aug 17 09:41:06 CST 2021","35","meiziku","test_accesskey","","","","创建appkey-传入参数q,参数值为空","传入参数q,参数值为空"
"passed","Tue Aug 17 09:41:10 CST 2021","Tue Aug 17 09:41:10 CST 2021","23","meiziku","test_selfvideo","","","","执行阿里云MPS转码切片-传入参数encryption，参数的值正确","传入参数encryption，参数的值正确"
"skipped","Tue Aug 17 09:41:05 CST 2021","Tue Aug 17 09:41:05 CST 2021","108","meiziku","test_accesskey","","","","创建appkey-传入参数q,参数值在数据库中已存在","传入参数q,参数值不正确"
"skipped","Tue Aug 17 09:41:05 CST 2021","Tue Aug 17 09:41:05 CST 2021","28","login","test_login","","","","登录接口--正确的用户名、错误的密码","传入正确的用户名、错误的密码"
"passed","Tue Aug 17 09:41:12 CST 2021","Tue Aug 17 09:41:12 CST 2021","53","meiziku","test_selfvideo","","","","获取影片标准主M3U8-传入存在的影片id","传入存在的影片id"
"passed","Tue Aug 17 09:41:10 CST 2021","Tue Aug 17 09:41:10 CST 2021","37","meiziku","test_selfvideo","","","","执行阿里云MPS转码切片-传入参数encryption、id、templateId、duration，参数的值正确","传入参数encryption、id、templateId、duration，参数的值正确"
"skipped","Tue Aug 17 09:41:12 CST 2021","Tue Aug 17 09:41:12 CST 2021","47","meiziku","test_selfvideo","","","","通过影片id删除影片-id是字符串","传入id是字符串"
"passed","Tue Aug 17 09:41:08 CST 2021","Tue Aug 17 09:41:08 CST 2021","55","meiziku","test_selfvideo","","","","编辑影片详情-编辑短描述","传入参数id,shortDescription"
"passed","Tue Aug 17 09:41:11 CST 2021","Tue Aug 17 09:41:11 CST 2021","48","meiziku","test_selfvideo","","","","执行阿里云MPS截图-参数值不正确","传入参数id 参数值不正确"
"skipped","Tue Aug 17 09:41:06 CST 2021","Tue Aug 17 09:41:06 CST 2021","57","meiziku","test_accesskey","","","","删除appkey-传入参数id,参数值不正确","传入参数id,参数值不正确"
"passed","Tue Aug 17 09:41:07 CST 2021","Tue Aug 17 09:41:07 CST 2021","84","meiziku","test_fourkgarden","","","","获取4K花园影片列表-分页-传入参数page,size,q q的值为空","传入参数page,size,q q的值为空"
"passed","Tue Aug 17 09:41:06 CST 2021","Tue Aug 17 09:41:06 CST 2021","65","meiziku","test_fourkgarden","","","","4k花园同步记录-不传参数","不传参数"
"passed","Tue Aug 17 09:41:06 CST 2021","Tue Aug 17 09:41:06 CST 2021","44","meiziku","test_fourkgarden","","","","4k花园同步影片","不传入参数"
"skipped","Tue Aug 17 09:41:10 CST 2021","Tue Aug 17 09:41:10 CST 2021","19","meiziku","test_selfvideo","","","","执行阿里云MPS转码切片-不传参数","不传参数"
"skipped","Tue Aug 17 09:41:10 CST 2021","Tue Aug 17 09:41:10 CST 2021","132","meiziku","test_selfvideo","","","","获取自有原片列表-分页-不传参数","不传参数"
